TAG,REVIEW
1,"The team has added details about UI testing. 
For automated testing, more information could have been provided on which parameters need to be tested in accordance to the changes they plan to implement."
0,Overall explanation of the changes that need to be made are made pretty clear
0,I find it a little confusing. But the diagrams help in understanding how the author is approaching the problem.
0,"Yes, the explanation is elaborative and complete."
1,"The design appears to be simple for the most part. I just feel that explanations are a bit verbose and cloud the understanding of the reader. Also, the user roles seem to be complex and the roles have some complex flow of functionality."
1,The team has provided a great visualization to explain their approach and how the user would interact with the system once the changes are made. It would have been great if the team could have given a brief explanation of the flowchart.
1,"Class diagram is included, there's a few mistakes though. The instructor designing the rubric part is not mentioned anywhere, also some arrows are incorrectly tagged. Eg, student to teams instead of Team A. DB snapshot of relevant tables helps."
1,"Design include manual the test plan in detail but short with the automated or Rspec test cases. They should include where the test cases will be added and what test cases will be added in order to ensure that the functionality is working as expected. Line ""We will be adding unit / integration tests to all the files we modify."" should be removed from the doc as it doesn't add any significance, instead test cases or meticulous test plan with Rspec should be included."
1,"The changes are explained properly. They have given the details of the approach in detail but the UI details are missing. Team could add the UI details more specifically, like why the existing star component is efficient. Though i think it can be replaced by a slider. 
Also, the UI details for the instructor are missing, how these changes will impact the user experience for the instructor. Kindly include it."
1,"The UML diagram is mentioned, is good, but there are a few mistakes like i'd mentioned the last time, they are not fixed on yet. However, it does not include proper arrow notations. It could have been explained in a simpler fashion."
1,"Yes, currently there's no check on the total contribution maintained by teammates. They would tally it up to 100, but a major question is whether the scope would require them to not let the user do this, or just warn. I see this as an open question, and they should've clarified this by now."
0,Yes they kinda have explained it how to do but they now need to localize those boundaries.
0,The team has used a lot of diagrams and UML to explain their working which is really useful and easy for the reader to follow through the whole document.
0,"Yes, the changes and the thoughts have been put out clearly that are to be done by the team."
0,The diagrams put down in the document are completely relevant and provide a very good understanding of the project
1,"The changes proposed look great as per explanation.
A little more information about where the code changes are going to be made would have been helpful to understand the team's plan."
0,The changes proposed look good and if implemented well could result in a working feature. They have proposed 2 solutions and deduced which one is better.
0,all part is completed and meaningful
0,"1. ER Diagrams
2. UML"
0,"1. No
2. No
3. Yes
4. It might because of database hits.
5. No."
1,"The UML diagram is too high-level yes, for instance, the instructor adds a question and sets its type while designing the rubric, which would be 'CAKE' in this case. The UML doesn't include this flow, nor does it provide any detail as to if this can be done. Trivial, but an arrow has been tagged incorrectly, Team A (a specific team) should be connected to the student. Also, UML don't include if-else blocks the way you've put, or do they? DB snapshot helps."
1,"UML and ER diagrams are given but UML should include multiple reviews for team members as the fraction of the cake type question will be shared across multiple reviews. ER is given for the tables but how the exactly the database will be used here is not explained in the doc? How the fraction will be calculated what all tables, fields will be used?"
1,"Doc includes all the functionality required for the project. Project description emphasize on the null pointer exception for round field, there's no detail about it in the doc."
1,"Changes proposed are good but team should add few more details:
1. In the solutions, stars are proposed for the question type but i don't think that's the best way to do it, this will does not give the liberty to have any fraction for the question. A slider from 1 to 100 would be a better option or a number input. 
2. Will there be any info icon to for the reviewer to know that s/he has to consider the fraction based on the other team members, as if by mistake reviewer submit 100% for one team member then it will not be possible to provide any fraction to another team mate. 
3. This change is not only for the reviewer but also for the instructor. None of the details are mentioned about the Instructor flow"
1,UI details are missing. It would be great to include the UI changes for the instructor and reviewers that how the cake question type will look like? I could see details about Stars but i think this will does not give the liberty to have any fraction for the question. A slider from 1 to 100 would be a better option.
1,"The database diagram helps the reader to understand the scenario better. The team has included the Use Case Diagram. However, it does not include proper arrow notations. It could have been explained in a simpler fashion."
1,"The authors have given quite good explanation of proposed code changes. However, it lacks the explanation of how can I distribute the ratings evenly between more than one member. The previous ratings also cannot be accessed."
1,"The design takes care of most of the functionalities. The team has tried to address maximum of the corner cases. However, the test plan could have been explained better. The authors have not explained well, which parts of new code will be tested and in what manner."
0,The uml diagram do follow the principles and it is quite informative.
1,"As the project is not implemented completely and I can not do anything besides view and edit profile. Hence, I can not check for edge cases."
