TAG,REVIEW
0,The test plan covers possible test cases and also covers edge cases.
0,Multiple diagrams visualizing and explaining the changes that need to be done to the system.
0,The design is well thought of. They propose 2 solutions and the final design chosen by them.
1,"The team has added details about UI testing. 
For automated testing, more information could have been provided on which parameters need to be tested in accordance to the changes they plan to implement."
1,"The team has provided a usecase diagram which is laid out well.
Although a flowchart would have been great to understand the flow of the functionality"
0,"Yes, the design appears simple and is explained well"
0,"Yes, the team has laid out a plan well which seems to fit the current design"
0,Overall explanation of the changes that need to be made are made pretty clear
0,The changes are well explained and sufficiently detailed.
0,The design is clearly described and explained in sufficient details. It is simple to follow.
0,Yes. The test plan is elaborative and should help in testing the features after the code part is complete.
0,"Yes, the visualization help in understanding the approach of the solution."
0,"Yes, it is complete, sound and appropriate."
0,"Yes, the explanation is elaborative and complete."
0,The team have carefully thought out their test plan. They have covered a lot of context of the system and have figured out how the system should act in those scenarios. The tests are very detailed and will really test the functionality of the cake questions.
0,The design appears to be sound and I don't see any major issues. The team have explained the problem statement in great detail and I think they have a proper idea of the work to be done. They have also completely figured what which files would they change.
0,The authors have explained the changes to be made in great detail. The explanation has been very nicely written while providing a lot of details about the system and the way it should ideally behave. The team have written the problem statement well and seem to have a great understanding of the way to approach the project.
0,"There are various test case scenarios that the team will cover in the testing phase. They have thoroughly thought out the cases and have even posted an open question regarding the self-review. The answer depends on instructors, though I think that self-review contribution should be equal if enabled.  This can be later clarified and modified as the project proceeds."
0,"The team has used a UML diagram, a DB design and even screenshots to explain their project clearly yet succinctly. This helps in easy understanding of the project."
0,"The design is simple and it seems easy enough to implement. Several view changes, creating a new model and editing a controller to add the model changes are clearly stated and it shows clarity with the team."
0,"The team has worked very well on this project design. They have added sections for different probable solutions, DB design, and future test plans as well. The chosen Solution A shows their implementation in a clear concise way."
0,The authors have made detailed explanations for the changes proposed to the system. These changes seem logical and satisfactory to me.
0,Team has given good number of test cases taht they are going to test the functionality. testing from different perspective is been done. They will be writing test cases and manually testing the functionality also.
0,"They have proposed two solutions for the problem and both of them does not look complex, but looking at the solution, solution A looks more simple to me. They have given screenshots of screens also that they are going to change, which makes it easy to understand"
0,"Yes design looks good, they have not made any changes in page for round 2 submission. It is same as before but they have covered everything"
0,They addressed every aspect of the features that are to be tested.
0,They have used plenty of diagrams.
0,The use of diagrams makes it easier to understand the system.
0,They have included plenty of diagrams to make the user understand their work.
0,They have a dedicated section for code changes and explained them pretty well.
0,"Yes, mainly while deciding on one of the proposed approaches, they have gone with a far subtler approach of only removing a user session id check as against the other flow of introducing a new self review altogether."
0,"Yes they proposed multiple solutions, shown two approaches and justified one. Good job overall. They've extended the cake model from scored question model, which seems right."
1,"Design include manual the test plan in detail but short with the automated or Rspec test cases. They should include where the test cases will be added and what test cases will be added in order to ensure that the functionality is working as expected. Line ""We will be adding unit / integration tests to all the files we modify."" should be removed from the doc as it doesn't add any significance, instead test cases or meticulous test plan with Rspec should be included."
0,"Design appear to be sound, as the team has considered two approaches and selected by one by considering the pros and cons of both. New question type is being added by extending the models scored, choice, question."
1,"The changes are explained properly. They have given the details of the approach in detail but the UI details are missing. Team could add the UI details more specifically, like why the existing star component is efficient. Though i think it can be replaced by a slider. 
Also, the UI details for the instructor are missing, how these changes will impact the user experience for the instructor. Kindly include it."
1,"Yes, decent test plan doc when it come to UI testing. However, rspec files haven't been explained in detail at all, no test cases mentioned as well."
0,"Yes, it does. For example, for enabling the teammate to self review, they are proposing a simple change to remove the session id user check, which was fairly simple. They are proposing other solutions as well alongwith, which is good."
